Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-01-27	2020-01-28	2020-01-29	2020-01-30	2020-01-31
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	* Porkrind in green tomatillo sauce OR * Scrambled eggs with ham OR * 1/2 portion of porkrind + 1/2 portion of scrambled eggs	* Tacos de barbacoa (4pcs) OR * Scrambled eggs with turkey sausage OR * 2 Tacos + 1/2 portion of scrambled eggs	* Deepfried quesadillas of chicharrón bathed in green sauce (2pcs) OR * Scrambled eggs with bacon OR * 1 Quesadilla + 1/2 portion of scrambled eggs	* Sweet crepes (2pcs) OR * Scrambled eggs with machaca OR * 1 crepe + 1/2 portion of scrambled eggs	* Ham lonche (1pc) OR * Scrambled eggs with chorizo OR *1/2 lonche + 1/2 portion of scrambled eggs
Breakfast	Light	Scrambled egg whites mexican style	Scrambled egg whites	Scrambled egg whites with diced bellpepper	Scrambled egg whites	Scrambled egg whites with nopales
Breakfast	Vegan	Potatoes in green sauce	Tacos of potatoes and soy chorizo 4pcs	Mushroom gorditas (3pcs)	Vegan sweet crepes (2pcs)	Veggie lonche (1pc)
Breakfast	Vegetarian	* Potatoes in green sauce OR * Scrambled eggs with mushrooms OR * 1/2 portion of potatoes + 1/2 portion of scrambled eggs	* Tacos of potatoes and soy chorizo (4pcs) OR * Scrambled eggs mexican style OR * 2 Tacos + 1/2 portion of scrambled eggs	*  Deepfried quesadillas w/poblano strips bathed in green sauce (2pcs) OR * Scrambled eggs with bellpeppers OR * 1 Quesadilla + 1/2 portion of scrambled eggs	* Sweet crepes (2pcs) OR * Scrambled eggs with spinach OR * 1 crepe + 1/2 portion of scrambled eggs	* 3 cheese lonche (1pc) OR * Scrambled eggs with nopales OR *1/2 lonche + 1/2 portion of scrambled eggs
Lunch	Regular	* RED SPICED PORKSTEAK   Side Dishes:  Alfredo Spaghetti / Steamed chayote	* HONEY SRIRACHA CHICKEN  Side Dishes:  Low mein / Sauteéd vegetables	* BIRRIA DE RES  Side Dishes:  Red rice / Refried beans	* LASAGNA BOLOGNESE Side Dishes:  Garlic bread / Steamed cauliflower and carrots	* TACOS AL PASTOR Side Dishes:  Nopales salad / Guacamole
Lunch	Light	* RED SPICED PORKSTEAK   Side Dishes:  Quinoa rice of broccoli and ham / Steamed chayote	* HONEY SRIRACHA CHICKEN  Side Dishes:  Gohan rice / Sauteéd vegetables	* BIRRIA DE RES  Side Dishes:  Red rice / Beans from the pot	* MEATBALLS WITH ITALIAN TOMATO SAUCE Side Dishes:  Chickpea soup / Steamed cauliflower and carrots	* TACOS AL PASTOR (OPTIONAL TORTILLA) Side Dishes:  Nopales salad / Guacamole
Lunch	Vegan	* PROVOLETA Side Dishes:  Basil pesto spaghetti / Steamed chayote	* TEMPURA CAULIFLOWER (WITH OPTIONAL HONEY SRIRACHA SAUCE) Side Dishes:  Low mein / Sauteéd vegetables	* TOFU AND ONION ENCHILADAS Side Dishes:  Red rice / Refried beans	* SPAGHETTI WITH VEGETABLES IN POMODORO SAUCE Side Dishes:  Vegan Garlic bread / Steamed cauliflower and carrots	* TACOS AL PASTOR (SOY) Side Dishes:  Nopales salad / Guacamole
Lunch	Vegetarian	* PROVOLETA Side Dishes:  Alfredo Spaghetti / Steamed chayote	* TEMPURA CAULIFLOWER (WITH OPTIONAL HONEY SRIRACHA SAUCE) Side Dishes:  Low mein / Sauteéd vegetables	* CHEESE AND ONION ENCHILADAS Side Dishes:  Red rice / Refried beans	* LASAGNA POMODORO Side Dishes:  Garlic bread / Steamed cauliflower and carrots	* TACOS AL PASTOR (SOY) Side Dishes:  Nopales salad / Guacamole
Lunch	Extras	MIXED LETUCE SALAD	ROMAINE SALAD	ROMAINE SALAD	SPINACH SALAD	ROMAINE SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
