Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-02-10	2020-02-11	2020-02-12	2020-02-13	2020-02-14
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	* Ham and cheese bagel  (1pc) OR * Scrambled eggs with bacon OR * 1/2 bagel + 1/2 portion of scrambled eggs	* Sweet crepes (2pcs) OR * Scrambled eggs with ham OR * 1 Crepe + 1/2 portion of scrambled eggs	* Whole wheat quesadillas with chorizo /ham (2pcs) OR * Scrambled eggs with turkey sausage OR * 1 Quesadilla + 1/2 portion of scrambled eggs	* Ham and cheese croissant (1pc) OR * Scrambled eggs with machaca OR * 1/2 croissant + 1/2 portion of scrambled eggs	* Tacos de barbacoa (4pcs) OR * Scrambled eggs with turkey ham OR * 2 Tacos + 1/2 portion of scrambled eggs
Breakfast	Light	Scrambled egg whites with ham	Scrambled egg whites	Scrambled egg whites with bellpeppers	Scrambled egg whites	Scrambled egg whites mexican style
Breakfast	Vegan	Vegan bagel veggies with hummus	Vegan sweet crepes (2pcs)	Whole wheat quesadillas with bellpeppers (2pcs)	Veggie Croissant (1pc)	Tacos de soy chorizo and potatoes (4pcs)
Breakfast	Vegetarian	* 3 cheese bagel  (1pc) OR * Scrambled eggs with bellpeppers OR * 1/2 bagel + 1/2 portion of scrambled eggs	* Sweet crepes (2pcs) OR * Scrambled eggs mexican style OR * 1 Crepe + 1/2 portion of scrambled eggs	* Whole wheat quesadillas with bellpeppers (2pcs) OR * Scrambled eggs with mushrooms OR * 1 Quesadilla + 1/2 portion of scrambled eggs	* 3 cheese croissant (1pc) OR * Scrambled eggs with nopales OR * 1/2 croissant + 1/2 portion of scrambled eggs	* Tacos of soy chorizo and potatoes (4pcs) OR * Scrambled eggs mexican style OR * 2 Tacos + 1/2 portion of scrambled eggs
Lunch	Regular	* HAWAIIAN PORKCHOPS Side Dishes:  White rice / Cubed beetroot	* PARMIGIANA CHICKEN Side Dishes:  Butter pasta / Steamed cauliflower and carrots	* CUBED PORK IN MEXICAN MOLE Side Dishes:  Red rice / Refried beans	* NEW YORK STEAK Side Dishes:  Mashed potatoes / Yellow corn on the cob	* BASIL PESTO CHICKEN BREAST STUFFED WITH CREAM CHEESE  Side Dishes:  Tomato soup / Alfredo fettucine
Lunch	Light	* HAWAIIAN PORKCHOPS (optional Roasted pineapple ) Side Dishes:  White rice / Cubed beetroot	* CHICKEN BREAST WITH POMODORO SAUCE Side Dishes:  Basil pesto Zucchini noodles / Steamed cauliflower and carrots	* GRILLED PORKSTEAK Side Dishes:  Panela cheese slices / Mashed beans	* NEW YORK STEAK Side Dishes:  Sauteéd mushrooms with bellpeppers / Yellow corn on the cob	* BASIL PESTO CHICKEN BREAST  Side Dishes:  Tomato soup / Fresh lentil salad
Lunch	Vegan	* LENTIL AND OATS PATTIES IN CHIPOTLE SAUCE Side Dishes:  White rice / Cubed beetroot	* PARMIGIANA CHICKEN Side Dishes:  Olive oil Pasta / Steamed cauliflower and carrots	* MOLE ENCHILADAS Side Dishes:  Red rice / Refried beans	* CHILE RELLENO (STUFFED POBLANO CHILE WITH LENTILS) Side Dishes:  Mashed potatoes / Yellow corn on the cob	* BROCCOLI  BAKED POTATOES Side Dishes:  Tomato soup / Basil pesto spaghetti
Lunch	Vegetarian	* LENTIL AND OATS PATTIES IN CHIPOTLE SAUCE Side Dishes:  White rice / Cubed beetroot	* PARMIGIANA CHICKEN Side Dishes:  Butter pasta / Steamed cauliflower and carrots	* MOLE ENCHILADAS OF BEANS AND PANELA CHEESE Side Dishes:  Red rice / Refried beans	* CHILE RELLENO (STUFFED POBLANO CHILE WITH LENTILS) Side Dishes:  Mashed potatoes / Yellow corn on the cob	* BROCCOLI  BAKED POTATOES Side Dishes:  Tomato soup / Alfredo fettucine
Lunch	Extras	MIXED LETTUCE SALAD	CAPRESE TYPE SALAD	MIXED LETTUCE SALAD	MIXED LETTUCE SALAD	SPINACH SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
