Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	NO SERVICE: There will be bread, ham, turkey ham, panela, tomatoe and condiments available for selfmade sandwiches. Or Fruit, yogurt and cereal	* Beef strips in green tomatillo sauce OR * Scrambled eggs with bacon OR * 1/2 portion of Beef + 1/2 portion of scrambled eggs	* Spiced porkleg burritos (3pcs) OR * Scrambled eggs with turkey chorizo OR * 1.5 Burritos + 1/2 portion of scrambled eggs	* Porkrind gorditas (3pc) OR * Scrambled eggs with ham OR * 1.5 Gorditas + 1/2 portion of scrambled eggs	* Barbacoa Tacos (4pcs) OR * Scrambled eggs with machaca OR * 2 Tacos + 1/2 portion of scrambled eggs
Breakfast	Light	NO SERVICE: There will be bread, ham, turkey ham, panela, tomatoe and condiments available for selfmade sandwiches. Or Fruit, yogurt and cereal	Scrambled egg whites	Scrambled egg whites mexican style	Scrambled egg whites	Scrambled egg whites with nopales
Breakfast	Vegan	NO SERVICE, There will be fruit and vegan yogurt available	Potatoes in green tomatillo sauce	Bean burritos 3pcs	mushroom gorditas 3pcs	Tacos of potatoes with soy chorizo 4pcs
Breakfast	Vegetarian	NO SERVICE, There will be fruit, yogurt, cereal, or selfmade panela sandwiches available	* Potatoes in green tomatillo sauce OR * Scrambled eggs with bellpeppers OR * 1/2 portion of potatoes + 1/2 portion of scrambled eggs	* Bean and cheese burritos (3pcs) OR * Scrambled eggs mexican style OR * 1.5 Burritos + 1/2 portion of scrambled eggs	* Cheese and poblano strips gorditas (3pc) OR * Scrambled eggs with nopales OR * 1.5 Gorditas + 1/2 portion of scrambled eggs	* Potatoes with soy chorizo Tacos (4pcs) OR * Scrambled eggs with mushrooms OR * 2 Tacos + 1/2 portion of scrambled eggs
Lunch	Regular	NO SERVICE: There will be Roasted chicken and tuna available for self service	* LA UNIVERSAL LONCHES Side Dishes:  Potato chips / Special almond sauce	* PORKLOIN IN ORANGE SAUCE Side Dishes:  Creamy tomato macaroni / Zucchini with corn	* MEXICAN GROUNDBEEF "PICADILLO" Side Dishes:  Red rice / Refried beans	* MARLIN A LA VIZCAÍNA Side Dishes:  Chinchayote tempura (Tortitas de chinchayote) / Avocado slices
Lunch	Light	NO SERVICE: There will be Roasted chicken and tuna available for self service	* SHREDDED PORKLEG TOSTADAS Side Dishes:  Panela slices / Avocado slices	* PORKLOIN IN ORANGE SAUCE Side Dishes:  Lentil soup / Zucchini with corn	* MEXICAN GROUNDBEEF "PICADILLO" Side Dishes:  Red rice / Refried beans (lowfat)	* MARLIN A LA VIZCAÍNA Side Dishes:  Steamed chinchayote / Avocado slices
Lunch	Vegan	TBD, please contact facilities to review options	* LA UNIVERSAL LONCHES Side Dishes:  Potato chips / Special almond sauce (vegan)	* PROVOLETA Side Dishes:  Tomato macaroni / Zucchini with corn	* SOY MEXICAN PICADILLO  Side Dishes:  Red rice / Refried beans	* VEGAN BURRITOS Side Dishes:  Steamed chinchayote / Avocado slices
Lunch	Vegetarian	TBD, please contact facilities to review options	* LA UNIVERSAL LONCHES Side Dishes:  Potato chips / Special almond sauce (vegan)	* PROVOLETA Side Dishes:  Tomato macaroni / Zucchini with corn	* SOY MEXICAN PICADILLO  Side Dishes:  Red rice / Refried beans	* VEGAN BURRITOS Side Dishes:  Chinchayote tempura (Tortitas de chinchayote) / Avocado slices
Lunch	Extras	NONE	ROMAINE SALAD	SPINACH SALAD	ROMAINE SALAD	OREJONA WITH ROMAINE SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
