Date,Day,ServiceDay,Regular,Light,Vegan,Vegetarian
2019-12-30,monday,False,,,,
2019-12-31,tuesday,False,,,,
2020-01-01,wednesday,False,,,,
2020-01-02,thursday,True, enfrijoladas with chorizo (3pc); scrambled eggs with turkey ham; 1.5 enfrijoladas + 1/2 portion of scrambled eggs,scrambled egg whites,enfrijoladas with soy chorizo, enfrijoladas with soy chorizo (3pc); scrambled eggs with spinach; 1.5 enfrijoladas + 1/2 portion of scrambled eggs
2020-01-03,friday,True, tacos de barbacoa (4pcs); scrambled eggs with turkey sausage; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites with pimentos,tacos of soy chorizo with potaotes, tacos of soy chorizo with potatoes (4pcs); scrambled eggs with mushrooms; 2 tacos + 1/2 portion of scrambled eggs
2020-01-06,monday,True, pancakes (3pc); scrambled eggs with turkey ham; 1.5 pancakes + 1/2 portion of scrambled eggs,scrambled egg whites with ham,vegan pancackes (3pcs), pancakes (3pc); scrambled eggs mexican style; 1.5 pancakes + 1/2 portion of scrambled eggs
2020-01-07,tuesday,True, double quesadillas with ham (1pc); scrambled eggs with turkey sausage; 1/2 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites,double quesadillas with hummus and veggies 1pc, double quesadillas with bellpeppers (1pc); scrambled eggs with nopales; 1/2 quesadilla + 1/2 portion of scrambled eggs
2020-01-08,wednesday,True, molletes: mexican whitebread toasts  turkey chorizo (2pc); scrambled eggs with machaca; 1.5 mollete + 1/2 portion of scrambled eggs,scrambled egg whites with mushrooms,mexican whitebread toasts  beans and poblano strips 2pcs, molletes: mexican whitebread toasts with beans and cheese (2pc); scrambled eggs with mushrooms; 1.5 mollete + 1/2 portion of scrambled eggs
2020-01-09,thursday,True, turkey ham croissants (1pc); scrambled eggs with bacon; 1/2 croissant + 1/2 portion of scrambled eggs,scrambled egg whites with,veggie croissant 1pc, 3 cheese croissants (1pc); scrambled eggs with bellpepper; 1/2 croissant + 1/2 portion of scrambled eggs
2020-01-10,friday,True, trivorced chilaquiles; egg tortilla; 1/2 portion of chilaquiles + 1/2 egg tortilla,scrambled egg whites with diced bellpepper,divorced chilaquiles, trivorced chilaquiles; egg tortilla; 1/2 portion of chilaquiles + 1/2 egg tortilla
2020-01-13,monday,True, shredded porkleg burritos (2pcs); scrambled eggs with turkey chorizo; 1 burrito + 1/2 portion of scrambled eggs,scrambled egg whites mexican style,bean burritos (2pcs), bean and cheese burritos (2pcs); scrambled eggs mexican style; 1 burrito + 1/2 portion of scrambled eggs
2020-01-14,tuesday,True, beef strips in green sauce; scrambled eggs with bacon; 1/2 portion of beef + 1/2 portion of scrambled eggs,scrambled egg whites,potatoes in green sauce,  potatoes in green sauce; scrambled eggs with bellpepper; 1/2 portion of beef + 1/2 portion of scrambled eggs
2020-01-15,wednesday,True, ham & cheese bagel (1pc); scrambled eggs with turkey sausage; 1/2 bagel + 1/2 portion of scrambled eggs,scrambled egg whites with turkey ham,veggie bagel (1pc), 3 cheese bagel (1pc); scrambled eggs with spinach; 1/2 bagel + 1/2 portion of scrambled eggs
2020-01-16,thursday,True, porkrind (chicharrón) gorditas (3pc); scrambled eggs with chorizo; 1.5 gorditas + 1/2 portion of scrambled eggs,scrambled egg whites,mushroom gorditas (3pcs), cheese gorditas (3pc); scrambled eggs with nopales; 1.5 gorditas + 1/2 portion of scrambled eggs
2020-01-17,friday,True, tacos de barbacoa (4pcs); scrambled eggs with machaca; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites with nopales,potato and soy chorizo tacos (4pcs), potato and soy chorizo tacos (4pcs); scrambled eggs with mushrooms; 2 tacos + 1/2 portion of scrambled eggs
2020-01-20,monday,True, enfrijoladas with chorizo (3pcs); scrambled eggs with turkey sausage; 1.5 enfrijoladas + 1/2 portion of scrambled eggs,scrambled egg whites with spinach,enfrijoladas with soy chorizo, enfrijoladas with soy chorizo (3pcs); scrambled eggs with mexican style; 1.5 enfrijoladas + 1/2 portion of scrambled eggs
2020-01-21,tuesday,True, ham and cheese sandwich (1pc); scrambled eggs with chorizo; 1/2 sandwich + 1/2 portion of scrambled eggs,scrambled egg whites,veggie sandwich, 3 cheese sandwich (1pc); scrambled eggs with soy chorizo; 1/2 sandwich + 1/2 portion of scrambled eggs
2020-01-22,wednesday,True, wholewheat quesadillas with chorizo / turkey ham (2pcs); scrambled eggs with turkey sausage; 1 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with bellpeppers and onions,vegan wholewheat quesadillas with vegan cheese and veggies 2pcs, wholewheat quesadillas with bell peppers (2pcs); scrambled eggs with mexican style; 1 quesadilla + 1/2 portion of scrambled eggs
2020-01-23,thursday,True, trivorced chilaquiles; egg tortilla in tomato sauce; 1/2 portion of chilaquiles + 1/2 egg tortilla,scrambled egg whites,divorced chilaquiles (2 sauces: green tomatillo and red tomato sauce), trivorced chilaquiles; egg tortilla in tomato sauce; 1/2 portion of chilaquiles + 1/2 egg tortilla
2020-01-24,friday,True, red porkrind tacos (tacos de chicharrón); scrambled eggs with turkey ham;1/2 portion of porkrind + 1/2 portion of scrambled eggs,scrambled egg whites with machaca,tacos of poblano strips with corn, poblano strips with corn tacos; scrambled eggs with bellpepper;1/2 portion of poblano strips + 1/2 portion of scrambled eggs
2020-01-27,monday,True, porkrind in green tomatillo sauce; scrambled eggs with ham; 1/2 portion of porkrind + 1/2 portion of scrambled eggs,scrambled egg whites mexican style,potatoes in green sauce, potatoes in green sauce; scrambled eggs with mushrooms; 1/2 portion of potatoes + 1/2 portion of scrambled eggs
2020-01-28,tuesday,True, tacos de barbacoa (4pcs); scrambled eggs with turkey sausage; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites,tacos of potatoes and soy chorizo 4pcs, tacos of potatoes and soy chorizo (4pcs); scrambled eggs mexican style; 2 tacos + 1/2 portion of scrambled eggs
2020-01-29,wednesday,True, deepfried quesadillas of chicharrón bathed in green sauce (2pcs); scrambled eggs with bacon; 1 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with diced bellpepper,mushroom gorditas (3pcs),  deepfried quesadillas w/poblano strips bathed in green sauce (2pcs); scrambled eggs with bellpeppers; 1 quesadilla + 1/2 portion of scrambled eggs
2020-01-30,thursday,True, sweet crepes (2pcs); scrambled eggs with machaca; 1 crepe + 1/2 portion of scrambled eggs,scrambled egg whites,vegan sweet crepes (2pcs), sweet crepes (2pcs); scrambled eggs with spinach; 1 crepe + 1/2 portion of scrambled eggs
2020-01-31,friday,True, ham lonche (1pc); scrambled eggs with chorizo;1/2 lonche + 1/2 portion of scrambled eggs,scrambled egg whites with nopales,veggie lonche (1pc), 3 cheese lonche (1pc); scrambled eggs with nopales;1/2 lonche + 1/2 portion of scrambled eggs
2020-02-03,monday,False,,,,
2020-02-04,tuesday,True, pancakes (3pcs); scrambled eggs with turkey sausage; 1.5 pancakes + 1/2 portion of scrambled eggs,scrambled egg whites,vegan pancakes (3pcs), pancakes (3pcs); scrambled eggs mexican style; 1.5 pancakes + 1/2 portion of scrambled eggs
2020-02-05,wednesday,True, double quesadillas of turkey ham; scrambled eggs with chorizo; 1/2 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with nopales,double quesadillas of bellpepper and vegan cheese, double quesadillas of bellpepper; scrambled eggs with nopales; 1/2 quesadilla + 1/2 portion of scrambled eggs
2020-02-06,thursday,True, ham and cheese lonche (1pc); scrambled eggs with bacon; 1/2 lonche + 1/2 portion of scrambled eggs,scrambled egg whites,vegan lonche (1pc), veggie lonche (1pc); scrambled eggs with bellpepper; 1/2 lonche + 1/2 portion of scrambled eggs
2020-02-07,friday,True," trivorced chilaquiles (creamy chipotle , green tomatillo and red tomato sauce); egg tortilla; 1/2 portion of chilaquiles + 1/2 egg tortilla",scrambled egg whites with diced machaca,divorced chilaquiles  (green tomatillo and red tomato sauce)," trivorced chilaquiles (creamy chipotle , green tomatillo and red tomato sauce); egg tortilla; 1/2 portion of chilaquiles + 1/2 egg tortilla"
2020-02-10,monday,True, ham and cheese bagel  (1pc); scrambled eggs with bacon; 1/2 bagel + 1/2 portion of scrambled eggs,scrambled egg whites with ham,vegan bagel veggies with hummus, 3 cheese bagel  (1pc); scrambled eggs with bellpeppers; 1/2 bagel + 1/2 portion of scrambled eggs
2020-02-11,tuesday,True, sweet crepes (2pcs); scrambled eggs with ham; 1 crepe + 1/2 portion of scrambled eggs,scrambled egg whites,vegan sweet crepes (2pcs), sweet crepes (2pcs); scrambled eggs mexican style; 1 crepe + 1/2 portion of scrambled eggs
2020-02-12,wednesday,True, whole wheat quesadillas with chorizo /ham (2pcs); scrambled eggs with turkey sausage; 1 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with bellpeppers,whole wheat quesadillas with bellpeppers (2pcs), whole wheat quesadillas with bellpeppers (2pcs); scrambled eggs with mushrooms; 1 quesadilla + 1/2 portion of scrambled eggs
2020-02-13,thursday,True, ham and cheese croissant (1pc); scrambled eggs with machaca; 1/2 croissant + 1/2 portion of scrambled eggs,scrambled egg whites,veggie croissant (1pc), 3 cheese croissant (1pc); scrambled eggs with nopales; 1/2 croissant + 1/2 portion of scrambled eggs
2020-02-14,friday,True, tacos de barbacoa (4pcs); scrambled eggs with turkey ham; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites mexican style,tacos de soy chorizo and potatoes (4pcs), tacos of soy chorizo and potatoes (4pcs); scrambled eggs mexican style; 2 tacos + 1/2 portion of scrambled eggs
2020-02-17,monday,True, turkey ham sandwich (1pc); scrambled eggs with ham; 1/2 sandwich + 1/2 portion of scrambled eggs,scrambled egg whites with nopales,veggie sandwich (1pc), 3 cheese sandwich (1pc); scrambled eggs with nopales; 1/2 sandwich + 1/2 portion of scrambled eggs
2020-02-18,tuesday,True, pork rind in red sauce; scrambled eggs with turkey chorizo; 1/2 portion of pork rind + 1/2 portion of scrambled eggs,scrambled egg whites,poblano strips with corn, creamy poblano strips with corn; scrambled eggs with bellpepper; 1/2 portion of poblano strips + 1/2 portion of scrambled eggs
2020-02-19,wednesday,True, beef strips in green sauce; scrambled eggs with machaca; 1/2 portion of beef + 1/2 portion of scrambled eggs,scrambled egg whites with mushrooms,potatoes with soy chorizo, potatoes with soy chorizo; scrambled eggs with mushrooms; 1/2 portion of potatoes + 1/2 portion of scrambled eggs
2020-02-20,thursday,True, molletes: mexican toast with beans and melted cheese with chorizo (2pcs); scrambled eggs with turkey sausage; 1 mollete + 1/2 portion of scrambled eggs,scrambled egg whites,mollete: mexican toast with beans and poblano strips (2pcs), molletes: mexican toast with beans and melted cheese with poblano strips (2pcs); scrambled eggs with spinach; 1 mollete + 1/2 portion of scrambled eggs
2020-02-21,friday,True," trivorced chilaquiles (creamy chipotle , green tomatillo and red tomato sauce); scrambled eggs with bacon; 1/2 portion of chilaquiles + 1/2 portion of scrambled eggs",scrambled egg whites with machaca,divorced chilaquiles  (green tomatillo and red tomato sauce)," trivorced chilaquiles (creamy chipotle , green tomatillo and red tomato sauce); scrambled eggs mexican style; 1/2 portion of chilaquiles + 1/2 portion of scrambled eggs"
2020-02-24,monday,True, ham and cheese lonche (1pc); scrambled eggs with turkey ham; 1/2 lonche + 1/2 portion of scrambled eggs,scrambled egg whites with ham,veggie lonche (1pc), 3 cheese lonche (1pc); scrambled eggs with spinach; 1/2 lonche + 1/2 portion of scrambled eggs
2020-02-25,tuesday,True, enfrijoladas with chorizo (3pcs); scrambled eggs with turkey sausage; 1.5 enfrijoladas + 1/2 portion of scrambled eggs,scrambled egg whites,enfrijoladas with soy chorizo, enfrijoladas with soy chorizo (3pcs); scrambled eggs with nopales; 1.5 enfrijoladas + 1/2 portion of scrambled eggs
2020-02-26,wednesday,True, deepfried quesadillas of chicharrón (porkrind) bathed in green tomatillo sauce (2pcs); scrambled eggs with machaca; 1 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with machaca,gorditas with mushrooms (3pcs), deepfried quesadillas of poblano strips bathed in green tomatillo sauce (2pcs); scrambled eggs with mushrooms; 1 quesadilla + 1/2 portion of scrambled eggs
2020-02-27,thursday,True, ham and cheese croissants (1pc); scrambled eggs with bacon; 1/2 croissant + 1/2 portion of scrambled eggs,scrambled egg whites,veggie croissant (1pc), 3 cheese croissants (1pc); scrambled eggs with bellpeppers; 1/2 croissants + 1/2 portion of scrambled eggs
2020-02-28,friday,True, tacos de barbacoa (4pcs); scrambled eggs with chorizo; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites mexican style,soy chorizo with potato tacos (4pcs), soy chorizo with potato tacos (4pcs); scrambled eggs mexican style; 2 tacos + 1/2 portion of scrambled eggs
2020-03-02,monday,True, double quesadilla with turkey ham (sincronizadas) (1pc); scrambled eggs with turkey sausage; 1/2 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with ham,vegan sincronizada with vegetables and hummus (1pc), double quesadilla with bellpepper (sincronizadas) (1pc); scrambled eggs with nopales; 1/2 quesadilla + 1/2 portion of scrambled eggs
2020-03-03,tuesday,True, pancakes (3pcs); scrambled eggs with ham; 1.5 pancakes + 1/2 portion of scrambled eggs,scrambled egg whites,vegan pancakes (3pcs), pancakes (3pcs); scrambled eggs mexican style; 1.5 pancakes + 1/2 portion of scrambled eggs
2020-03-04,wednesday,True," molletes: mexican whitebread toast with beans, chorizo and cheese (2pcs); scrambled eggs with machaca; 1 mollete + 1/2 portion of scrambled eggs",scrambled egg whites with mushrooms,mexican whitebread toast with beans and vegan cheese (2pcs)," molletes: mexican whitebread toast with beans, poblano strips and cheese (2pcs); scrambled eggs with mushrooms; 1 mollete + 1/2 portion of scrambled eggs"
2020-03-05,thursday,True, ham and cheese croissants (1pc); egg tortilla in red tomato sauce; 1/2 croissant + 1/2 egg tortilla,scrambled egg whites,veggie croissant (1pc), 3 cheese croissants (1pc); egg tortilla in red tomato sauce; 1/2 croissant + 1/2 egg tortilla
